BPM,Gaming,Concentration,Sleep,Exercise,Tiredness,Stress,Happiness
119.7311,10.2043,6.2233,7.9957,2.0018,5.086,5.0063,10.0056
50.0385,0.9412,8.3487,7.6719,9.6661,1.769,2.5967,9.2608
109.8961,6.0458,0.2868,2.3317,0.4928,10.0713,9.9248,-0.3425
119.5266,10.1742,0.4701,0.2963,0.0589,-0.0785,10.382,0.1949
75.5466,5.1433,7.9922,7.9051,7.246,7.2824,-0.1958,9.0265
70.3889,9.0197,3.6563,5.1672,4.003,4.7895,3.3652,5.8345
79.3959,10.0672,2.5482,7.936,2.8141,8.4417,3.181,7.886
66.0125,7.24,4.5621,6.8949,6.2268,4.6648,7.1747,4.8603
66.6868,8.2172,7.4837,5.4249,6.5921,3.4255,5.4557,3.4771
68.2972,4.526,7.3692,7.9702,6.8003,7.2343,-0.3692,10.1466
72.4428,5.822,3.9531,4.9568,4.3348,5.3205,3.6708,6.1795
72.3911,7.8226,4.5294,6.7578,3.8049,6.3878,4.8825,7.9675
73.328,5.5516,6.2574,6.6245,6.1607,3.0032,4.6022,2.7617
80.2468,9.9303,6.8944,6.6709,1.8424,2.1803,5.6465,4.2695
81.9509,5.3876,5.5107,6.4605,5.3396,5.7848,6.4006,1.5646
87.6819,2.9786,4.7116,8.6058,2.5781,1.4998,7.9956,2.1522
100.3222,9.3579,4.7297,5.8736,4.1615,8.3691,3.0922,7.092
89.8025,6.4636,7.2718,6.1861,2.6682,6.4262,3.3612,6.9655
73.7063,2.173,6.4026,6.9084,4.2666,3.8405,6.9634,1.8603
119.6387,9.5918,5.8953,7.9641,2.4322,5.4391,5.3424,10.2193
49.6067,1.2375,8.0786,8.4671,10.1482,2.3771,3.0174,9.2973
109.5746,6.1113,-0.2553,2.4845,-0.4499,10.0169,10.0707,0.0163
119.8708,9.9321,0.0133,-0.1491,0.4622,-0.481,9.5259,-0.4596
75.9037,4.9092,7.5221,7.9238,6.6971,7.368,0.4589,8.8472
70.4709,9.3568,4.2366,5.2981,4.4803,5.4723,2.5267,6.4822
78.5591,9.5618,2.5235,7.9454,2.9345,7.5323,2.8618,7.7432
65.8753,6.6126,4.744,6.9415,5.6433,5.0091,6.7838,4.7081
67.0041,7.5844,7.2429,5.4151,6.7461,3.2128,4.6736,2.5655
68.0976,5.0913,6.5991,7.9235,6.817,7.0733,-0.2818,10.1323
71.8348,5.7551,3.8733,4.8447,4.4917,4.7004,3.6741,5.8371
71.6621,8.2061,5.1673,7.387,4.433,6.0658,5.4301,8.0163
72.6514,6.3722,5.7457,6.7249,6.3468,3.4272,5.1065,3.0437
79.638,9.86,6.7887,6.9445,1.5344,2.1103,6.2842,3.6642
82.0117,5.076,6.181,5.7513,4.5526,5.8561,6.2975,2.3562
87.5701,3.3725,5.3665,9.0581,3.4433,1.1851,7.7209,2.3532
99.9673,8.9088,5.2754,6.4709,3.8626,7.9412,2.7935,6.7543
90.0172,5.8462,7.4389,6.4595,2.5126,6.4457,2.9177,7.4543
73.6323,2.2412,5.91,7.4728,3.8517,4.2749,6.8488,2.0605
120.0869,9.9589,6.2088,8.0907,1.5904,5.1232,4.5758,9.9713
49.5145,1.4344,8.0678,8.0491,10.4926,2.2472,3.334,9.2816
109.5143,5.9641,0.151,2.0439,0.2272,10.3875,9.6162,-0.1692
120.0284,10.4108,-0.0135,0.0728,0.2203,0.1057,9.644,-0.3091
76.2574,4.8365,7.8198,7.5117,6.8212,7.4784,-0.0258,8.832
70.0712,9.0881,4.0739,5.1926,3.9095,5.432,2.9882,5.532
78.9874,10.2261,2.7742,8.3606,3.3672,7.9139,2.9263,8.2206
65.9932,6.5072,5.1946,6.541,5.7555,5.1775,6.724,4.9928
67.2173,7.5842,7.4403,5.4589,6.6773,2.8983,4.5932,2.9053
68.2496,5.0086,6.5701,7.5747,7.4113,6.808,-0.2744,9.7506
72.0623,5.537,4.4743,5.2816,4.437,5.334,4.3752,5.7739
71.8405,7.9247,5.4203,7.0494,3.9326,6.0289,4.927,7.7668
73.2908,5.8949,5.6669,6.9542,6.4587,3.2849,5.1679,3.2828
80.3594,10.2838,6.7907,6.7739,2.4273,2.3741,5.6943,3.9349
82.3599,5.2775,6.1233,6.1787,4.9492,5.9349,6.2781,2.4464
88.3065,2.7925,4.7456,9.3203,2.8059,0.9206,8.0793,2.0903
99.5216,9.2855,4.8624,6.1813,4.4251,8.1216,2.7874,7.1635
90.0831,6.1037,7.136,6.1748,3.1777,5.9674,3.336,6.7486
73.7603,2.4781,6.2257,6.8179,3.9597,3.9497,7.1879,1.9948
120.4846,10.3462,6.406,7.6851,1.9092,4.7737,4.6318,9.6083
50.1674,1.113,7.8613,8.0787,10.1725,2.0891,2.5623,8.8911
109.9871,5.5908,-0.0027,2.4494,-0.4296,10.0533,10.3093,0.4478
119.7483,9.9653,0.0176,-0.3509,-0.4371,0.2857,9.688,-0.3052
76.2004,4.8529,7.5839,8.1322,7.3792,6.6046,0.4295,8.977
70.1528,8.8278,4.3283,5.2684,4.3504,4.5725,2.6864,6.0828
79.2959,10.1411,2.8527,8.0237,2.5319,7.8659,3.3931,8.1466
65.8581,7.3575,5.4489,6.5045,5.7867,5.408,7.006,5.0264
66.5803,7.7354,7.4206,4.5763,6.5238,2.6013,4.6302,3.0535
68.4993,4.9293,6.7517,8.2395,6.906,6.8478,-0.0246,10.4121
72.269,6.0485,3.9128,4.6858,4.058,4.9373,3.9801,5.8484
71.7924,7.8775,4.5055,7.1232,3.535,6.2587,4.7225,7.774
73.2353,6.1946,5.9865,7.3249,6.2101,2.6729,5.4289,2.9533
79.5182,10.2432,7.3702,7.2595,1.9812,1.5899,6.4549,3.5393
81.642,4.8395,5.5669,5.5895,5.4238,6.454,5.6196,2.1514
87.6304,2.6182,5.019,9.1576,3.4937,0.7834,8.3554,2.3458
99.5396,8.5499,4.5704,6.0258,4.3201,7.5966,3.1038,6.7452
89.8623,6.1606,7.284,5.6717,3.351,6.2393,3.0682,6.841
73.859,2.1702,5.6046,6.8382,3.5131,4.175,7.3299,1.959
120.3563,10.0458,6.2047,8.1524,1.5368,4.5191,5.4197,10.3538
49.8287,0.8093,7.7694,8.1271,9.7382,2.4705,2.9106,9.2469
109.9153,5.9435,-0.4845,2.4573,0.1112,10.0955,9.8637,0.3387
119.7927,9.8428,0.0846,-0.3853,-0.2088,-0.2311,10.317,0.2341
76.3728,4.8742,7.8264,7.6366,6.6907,7.2844,-0.4356,8.5826
70.1619,9.1189,3.6509,4.7502,4.0149,5.1262,3.1778,5.5996
78.784,10.1391,3.1491,7.7737,2.6099,8.3552,3.0939,7.8508
66.3256,6.9817,4.9729,6.6132,5.8152,4.8438,6.5272,5.1765
66.604,7.6238,6.7028,4.5498,6.6887,2.7144,5.0801,2.6123
67.8066,4.7738,7.2387,7.5302,7.2666,7.1222,0.2587,9.7692
72.4698,6.154,4.0787,4.8464,3.9435,5.4494,3.9694,6.0988
72.2885,8.1203,5.3716,7.0722,4.3254,5.8271,5.4047,8.3598
73.309,5.991,5.5526,7.1221,5.7598,3.0845,4.9032,3.0957
80.2216,9.8819,7.0629,6.9882,1.7151,2.1946,5.6034,3.9909
81.8265,4.7193,6.3525,5.6232,5.4228,5.8854,6.0769,2.4654
88.2019,3.3161,5.3414,8.9049,2.8007,1.4872,7.6299,2.1355
100.3179,8.6568,4.8937,5.7281,3.7625,7.7259,3.1222,6.5026
90.3769,6.3545,7.2956,5.8349,2.7908,6.1265,2.8644,7.3165
73.7567,2.0424,6.212,6.6822,4.2568,3.5649,7.0983,1.9933
119.5226,10.485,6.3867,7.7898,2.2889,5.462,5.1822,9.9377
50.3845,1.1096,7.85,7.9361,9.7989,2.2777,3.1879,8.921
110.4983,6.4293,-0.0794,2.4925,-0.2441,10.3331,9.5853,-0.0385
120.3071,10.2855,0.1331,0.3935,-0.2209,0.199,9.6302,0.0844
76.0769,4.6072,8.4899,7.9431,7.2859,6.7523,0.2819,8.6675
70.3844,8.6028,3.8028,5.0046,3.7163,5.2289,2.5566,6.2105
78.8454,9.5032,3.3525,7.7198,3.0973,7.8753,3.4226,7.9528
65.9227,7.3962,5.2548,7.0486,6.1661,4.803,6.7872,5.4919
66.7699,7.6152,6.5516,5.2681,7.2664,3.2395,5.1814,3.0574
68.3055,5.3753,7.0833,8.367,7.4266,6.6959,-0.0221,10.1972
71.8652,5.8725,3.7995,5.3312,4.0484,5.1368,4.2069,5.6189
72.1259,7.5391,5.2248,6.5788,3.6701,6.4631,4.6666,8.4964
73.3457,6.1773,5.8071,7.3909,5.9856,2.718,4.975,3.3047
80.3706,10.2733,7.1343,7.0032,2.0,1.5144,5.8102,4.3388
81.9473,4.6426,6.2624,6.0299,4.9083,5.9916,6.2145,1.5758
88.2096,3.1077,4.771,9.2602,3.1736,0.7418,8.0233,2.2184
100.1726,8.8453,5.1768,5.5948,4.1158,7.8655,3.3428,6.6545
89.566,5.6021,6.8788,5.5662,3.4244,5.5043,3.3591,6.9091
74.4573,2.0548,5.6685,6.5754,4.4335,3.8065,7.4233,2.0043
119.9963,10.4004,6.381,8.2878,1.5686,4.5589,4.6257,9.594
50.2225,1.1892,7.8615,8.2046,9.8648,1.8192,3.2725,9.2484
109.557,5.5931,-0.4036,1.563,-0.4251,9.566,10.4332,-0.2584
119.5454,10.3278,-0.0184,-0.4138,-0.1729,-0.0721,9.6704,0.0562
76.2194,5.0129,7.6568,7.6036,6.6209,7.1989,0.3888,8.5504
70.2731,8.9544,3.9267,4.9856,3.9254,4.9097,3.1338,5.9397
78.6894,9.5646,3.4234,8.4396,3.1197,7.9137,2.6096,8.1946
66.1206,6.6471,5.0219,6.5466,5.6917,4.6517,6.7518,5.1176
67.4352,8.1181,6.6851,5.1864,7.366,3.3308,4.697,3.022
67.9022,4.7678,6.9527,8.2082,7.1459,7.4158,-0.3679,10.479
72.3705,6.4999,4.2365,4.9938,4.2434,4.7923,4.0661,5.7334
72.0331,7.5009,5.0329,7.3194,4.3174,6.4606,5.2288,8.4836
73.1255,6.4272,5.7888,7.3911,6.0271,2.7589,5.292,3.2977
80.3366,9.8629,6.5969,6.5708,2.4923,1.7906,6.4185,3.6431
81.8548,5.255,6.1852,5.7531,5.3299,6.0698,5.9928,2.1752
87.6706,2.5585,5.4049,8.9134,3.3584,0.7773,7.8226,1.6101
100.2525,9.4758,4.9537,6.216,4.4901,8.1,3.307,6.6143
89.5524,5.8611,6.692,6.4075,3.3915,5.7466,3.437,6.672
74.0742,1.5064,6.3019,6.7525,3.8587,3.7599,6.92,1.753
119.8198,10.4901,5.9783,8.1339,1.7772,5.1103,5.4231,9.5963
49.615,1.4965,7.7942,7.8157,10.2288,2.0595,2.5845,9.4556
109.8465,6.0778,0.3293,2.0113,-0.4757,10.3829,10.0768,0.4722
119.8626,9.6616,-0.1497,0.4145,-0.4719,-0.0424,10.4092,-0.2293
76.49,5.4723,8.2025,8.2806,6.7101,6.9759,-0.3749,8.795
70.2846,9.2837,4.3052,4.8674,3.5989,5.2735,2.5934,5.6341
78.7733,10.2598,3.002,7.5643,2.6877,7.6325,3.2661,7.8345
65.9488,7.0944,5.0386,6.8351,5.852,5.1896,6.9741,4.5881
66.8342,7.7887,6.6607,5.0475,6.9059,3.3065,5.0712,2.7423
68.4899,5.4117,7.0787,7.7747,7.0801,7.379,0.1141,9.9236
72.3289,5.687,3.9701,5.4353,4.1245,5.4851,4.4268,5.9811
71.647,8.1208,5.0897,6.8942,4.1658,6.4522,5.4617,8.4354
72.9784,5.9553,5.8411,7.0936,5.6369,3.4058,5.142,3.459
79.6332,10.4503,6.7702,7.1631,1.7622,1.7645,6.2359,3.7499
81.5556,4.9958,5.6941,5.8071,4.6465,5.5009,5.6142,1.5673
87.5308,2.514,5.3501,9.1136,3.4245,1.2442,7.8605,2.1827
100.119,8.7817,4.9749,6.4081,3.7324,8.2583,2.7453,7.0843
89.8728,5.7799,7.1892,6.2721,2.6212,5.8227,3.1299,6.5477
74.0875,1.8722,6.3751,6.9658,3.6016,3.9071,6.6872,1.7459
119.7736,10.3151,5.7293,8.0279,2.2427,4.5856,5.153,9.6075
49.9707,0.7102,8.2199,7.5099,9.6704,2.2006,3.4611,9.213
110.289,6.1765,0.126,1.6682,-0.2228,9.7035,10.4197,-0.3533
119.6827,9.6132,0.2715,0.4073,-0.0928,0.2049,10.385,-0.1636
76.0639,4.5684,8.1127,7.6295,6.9219,7.3442,0.4988,8.5435
69.9384,9.2247,4.1155,5.1489,3.8453,4.8662,2.654,6.1236
78.8582,10.3804,3.2873,7.6089,2.518,7.9242,3.0203,7.5818
66.1836,7.2435,4.5392,6.5268,5.7952,4.9452,7.19,4.7325
67.4544,7.8984,6.8717,4.6949,6.7286,2.5113,5.1485,3.3737
67.9612,5.1503,6.7041,8.411,7.1916,6.8458,0.2212,10.3996
72.4777,6.0067,4.2438,4.9513,3.5889,4.6472,3.6264,6.3392
72.1358,8.0886,5.057,6.828,4.4423,5.7033,4.8521,8.4596
73.4188,6.3138,5.6766,7.2249,5.7314,2.6579,4.8605,3.2922
80.3005,9.7701,7.1114,6.9638,1.9992,2.1302,5.8915,3.6637
82.3526,4.6673,6.4622,6.3762,5.0547,6.3417,6.0921,1.8997
88.0622,2.8456,4.7374,8.8215,2.5493,1.0232,7.7905,1.9617
99.7715,9.2663,5.391,6.3552,3.9689,7.5649,2.7588,6.7537
89.9444,6.4867,7.1986,6.2706,3.112,6.1838,3.0767,6.5867
73.8302,2.1724,6.4954,6.6248,3.8873,4.4306,6.6484,1.8316
119.729,9.9067,5.6049,8.3672,2.4264,4.7416,5.4289,10.2331
49.5973,1.424,7.8806,8.164,10.3318,2.1765,2.5441,8.7955
110.2381,5.8205,0.1966,2.0528,-0.4518,10.1693,10.4881,0.3996
119.6407,10.3366,0.0739,0.0577,0.1065,-0.3604,10.0355,0.2618
75.9471,4.607,8.2194,7.8674,6.7088,6.5943,-0.4559,8.7235
70.0998,9.3185,3.6181,5.3393,3.5909,5.0183,2.7936,6.4615
78.6607,10.2384,3.4833,8.0952,2.9742,7.8877,2.7814,8.1348
66.0311,7.435,4.6848,6.7038,6.1931,5.1696,6.7499,4.6023
67.0952,7.7459,7.4694,4.7858,7.006,2.8534,5.0437,3.3882
68.0673,5.4255,7.4431,8.4687,6.8096,7.4833,0.0414,10.0637
71.6372,6.3759,4.3727,4.7249,3.8987,5.3442,3.5848,5.8654
71.7549,8.1022,4.8026,7.1578,4.1657,6.4536,5.4098,7.978
72.9229,5.7409,5.5833,6.8468,5.9292,2.8312,4.8137,2.926
80.2899,9.7507,6.5926,7.3595,1.5579,2.2362,6.4264,3.8522
82.4244,4.9457,5.583,5.6226,5.0398,5.723,6.2873,2.2097
88.1126,3.0107,4.8559,9.3174,3.1312,0.8656,7.5362,2.3826
100.2719,8.8384,4.9296,6.0031,3.5827,8.1632,3.0541,6.5725
90.4708,5.8222,6.6843,6.3565,3.0626,5.8889,2.639,6.8522
74.0862,1.7334,6.3121,7.2701,3.7068,3.6884,6.7528,2.1695
119.6432,10.1328,6.3083,8.4899,1.5688,5.3061,4.5698,10.3418
50.305,1.4824,7.877,7.6576,10.4574,2.4017,2.8108,8.8195
109.7937,6.1447,0.3215,1.5338,-0.1094,10.392,9.9175,-0.3072
120.3816,10.2679,0.1994,-0.4654,-0.3813,0.2086,10.3172,0.0898
76.4618,4.7069,7.8846,7.6442,7.4576,7.3386,0.1045,9.3548
70.1799,9.1202,3.6174,5.1117,4.3635,4.6157,3.0189,6.0926
79.3225,10.0311,3.3826,7.8135,3.0303,8.2389,3.4954,7.7072
66.1947,6.8995,4.6843,7.4478,5.9085,4.925,6.9606,5.4436
67.4809,8.2084,7.2304,5.3601,7.214,2.9818,4.9977,3.2272
67.7678,4.5761,6.9092,7.5815,7.3117,6.7592,-0.4911,10.2069
71.5306,6.4082,4.1752,5.1647,3.9101,5.3489,4.3908,6.1436
71.866,8.0767,4.7151,7.1893,3.748,6.0127,5.1258,7.6292
72.92,5.7869,6.3049,7.2982,6.1366,2.5406,4.9084,3.4684
80.4578,9.7459,6.9631,7.1685,2.2963,1.9282,5.5611,4.3425
82.378,4.873,6.4716,5.6338,4.5675,5.987,5.9492,1.883
88.2469,2.5263,5.2469,8.6396,2.8788,0.9602,7.5297,2.3582
100.2777,8.8647,5.229,5.8084,3.8558,7.5362,3.4452,6.9339
90.4754,6.2593,7.0342,5.8362,2.8419,6.0913,2.9831,6.5292
74.099,2.0036,5.9612,6.9282,3.6096,4.4946,6.8558,2.0839
119.5872,10.4209,6.4944,7.6183,2.3306,4.9307,5.2872,9.5545
49.8571,0.7846,7.9687,8.4386,9.9831,1.7334,3.0882,8.7862
110.1879,5.5066,-0.0155,2.1083,0.3112,10.3191,10.4517,-0.4299
120.2908,10.1891,0.2678,-0.4258,0.4669,-0.1306,9.9662,-0.1907
76.458,4.6256,7.9593,7.6884,6.7581,7.4396,0.1176,9.3031
69.7875,8.6922,4.3609,5.3995,3.898,4.6532,3.0649,5.6888
78.7062,10.3945,3.1272,8.0679,2.8026,7.6397,2.7944,7.5236
65.9281,6.9788,4.6233,7.2471,6.1754,4.5584,6.8445,5.0363
67.208,8.2118,6.8322,5.0247,7.0655,3.3465,4.8125,2.7864
67.5953,4.8347,6.8882,7.7907,7.3423,7.4679,-0.3422,10.1154
72.1312,5.5029,3.506,4.7509,3.9141,4.5093,4.2845,5.5191
72.2838,8.4019,4.8168,7.2373,3.5527,5.5821,4.8769,7.6727
72.5784,5.8227,5.5364,6.7434,6.4591,3.1902,4.6493,3.2133
79.7712,9.5379,6.5523,7.4122,2.0478,2.3591,6.3204,3.8035
82.3248,5.2899,6.3526,5.7307,5.2397,6.1759,6.4697,2.1832
87.5309,2.9425,4.5783,8.8359,2.5785,1.406,8.1431,2.4568
99.7815,9.3978,4.5265,5.5209,4.2214,7.601,2.6458,6.5392
90.1948,6.4268,6.8491,5.6083,3.2928,5.5016,3.2393,7.3018
73.9728,1.5364,6.1985,7.4053,4.1123,3.7527,6.7423,1.5798
119.7465,10.4018,5.7472,7.7493,2.2765,4.9875,4.9989,9.9642
49.7645,0.7941,7.7444,7.7489,9.8146,1.68,2.8095,9.3873
110.2741,5.633,-0.4379,1.814,0.1575,10.128,9.5799,0.0651
119.9949,10.3514,-0.0497,-0.4081,0.184,-0.4997,10.2321,0.2366
76.1424,4.9017,7.7626,8.357,7.1044,6.6809,-0.158,9.3482
69.6004,8.8277,3.9386,5.2642,3.6728,5.0635,2.8209,6.1249
79.481,10.0567,2.9872,8.4968,2.9898,8.0429,2.5138,8.2965
66.4429,6.8718,4.5458,7.0996,5.7545,4.5001,6.7458,5.4512
67.1815,7.9986,7.201,5.019,6.7449,2.6165,4.9098,2.5148
67.6126,5.2309,7.4271,8.4273,7.0327,6.6813,0.1377,10.4134
72.4266,5.5217,4.0569,5.0682,3.7015,5.1202,3.8968,5.9266
71.9554,7.6394,4.8146,7.0758,4.2291,5.6128,5.2491,8.3964
73.2069,5.7794,6.2289,6.982,5.8164,2.6995,5.1062,2.6613
80.4821,10.0476,7.0117,7.3492,2.1929,1.9713,5.9913,3.8686
82.2596,5.0497,6.1549,6.1901,4.9076,5.9358,5.6949,2.1175
87.7411,2.6312,4.9678,8.9495,3.0988,1.1486,8.0935,1.5994
100.1111,9.1935,4.5244,6.192,4.2156,7.8423,3.32,7.1709
90.3986,5.5696,7.4371,5.8738,2.9927,5.6801,3.396,6.691
73.6008,1.9701,5.7365,7.0384,4.2947,3.5166,6.677,1.7797
119.6123,10.2481,5.6751,8.247,2.0801,4.8969,5.2954,10.134
49.7781,0.5294,8.4718,7.5381,10.4421,1.869,2.7359,8.5387
110.1494,5.6032,-0.0895,2.394,-0.0853,9.9584,9.8898,-0.3155
120.1107,9.8183,-0.1896,-0.173,0.477,-0.4036,10.3367,0.0113
75.8234,5.161,8.2418,8.333,6.5056,7.3698,-0.4462,9.4346
70.2781,9.0439,3.7626,4.6331,4.4579,5.3148,2.6492,5.7258
78.6365,9.7737,2.6195,8.1416,3.1014,8.268,2.8183,7.8429
65.5286,6.974,4.7908,7.0565,6.253,4.9998,7.2042,5.3685
66.8517,8.2355,7.3974,4.7459,7.4535,2.6605,5.3085,3.1026
67.6127,4.9679,7.1605,7.7844,6.8813,6.7854,-0.4515,9.9088
71.572,5.9845,4.2009,4.9497,4.2086,5.4891,3.8492,5.7865
71.7358,8.4934,4.5675,6.8409,4.1394,5.9289,4.7257,8.2598
73.0203,6.29,5.8455,6.6108,6.3693,3.4821,4.7004,3.1737
79.8418,10.0251,7.2526,6.8982,1.6168,1.8238,6.3221,3.97
82.4031,4.7274,6.4483,6.2531,4.9792,5.9306,5.7267,2.0743
87.5563,2.5526,5.1763,8.975,3.1269,1.0615,8.0653,2.3787
99.9482,9.2467,4.5335,6.2009,3.6296,8.1837,2.5993,7.3364
90.1187,6.0522,6.8108,5.9246,2.6848,5.9538,2.5158,7.4202
73.6526,2.0448,6.2532,6.6435,4.4848,3.8701,6.9244,1.6142
119.8213,9.5226,6.0253,8.4007,1.8716,5.2581,4.7307,9.5341
49.945,1.4419,7.6991,8.4709,10.1323,1.8289,3.0311,8.888
109.8311,6.1459,-0.4347,2.2927,0.3361,10.0067,10.0636,-0.3408
120.4502,9.9562,0.1242,0.1616,0.0858,-0.0856,10.3877,0.0938
76.285,5.0336,8.22,8.1168,7.3815,6.8134,0.2896,8.5952
70.4144,8.669,3.956,5.1437,3.6894,5.0086,2.7541,6.4508
78.6888,9.8864,2.5942,8.0324,3.3611,7.852,3.0608,7.993
66.1206,7.2297,5.3112,7.2308,5.9066,5.4658,7.2448,5.4037
67.2465,7.8043,6.6072,4.853,6.9574,2.5221,5.2152,2.5226
67.8478,5.0772,7.198,8.17,7.2039,6.7192,-0.2415,10.1126
71.7259,5.6561,4.0315,4.7894,4.4946,5.2717,3.5645,5.5514
71.6816,7.59,4.571,7.2885,3.9879,6.2369,5.158,8.2412
73.0512,6.0886,5.9075,6.6432,6.0866,3.2622,5.2994,3.367
79.8342,10.2971,6.8871,6.8183,1.9977,2.4549,6.2027,3.9782
82.0131,4.5519,5.9465,5.9241,4.9952,6.3362,5.8235,2.2921
87.5758,2.7172,5.0162,9.1263,2.687,0.6571,8.2678,1.6225
99.7096,8.6405,4.5269,5.5845,3.6454,7.9852,3.3871,7.0097
90.2036,6.0469,7.3073,6.1387,3.0474,6.2823,3.4371,7.2477
73.7335,2.2251,6.4024,7.4265,3.6822,3.8366,6.9418,1.6038
119.6166,10.0414,6.0191,7.6464,2.1548,4.7331,5.1942,9.7253
